Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitb16_mlp256_ls0_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8662, 0.7876, 0.8676
qwen_dataset_dinov3_vitb16_mlp256_ls0p1_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8675, 0.7797, 0.8704
qwen_dataset_dinov3_vitb16_mlp384_ls0_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8633, 0.7743, 0.8645
qwen_dataset_dinov3_vitb16_mlp384_ls0p1_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8716, 0.7847, 0.8751
qwen_dataset_dinov3_vitb16_mlp768_ls0_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8721, 0.8006, 0.8718
qwen_dataset_dinov3_vitb16_mlp768_ls0p1_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8808, 0.7980, 0.8826
qwen_dataset_dinov3_vitb16_mlp512_256_ls0_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8526, 0.7719, 0.8550
qwen_dataset_dinov3_vitb16_mlp512_256_ls0p1_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8768, 0.7957, 0.8767
qwen_dataset_dinov3_vitb16_mlp768_384_ls0_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8462, 0.7624, 0.8488
qwen_dataset_dinov3_vitb16_mlp768_384_ls0p1_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8875, 0.8182, 0.8876
qwen_dataset_dinov3_vitb16_mlp768_384_192_ls0_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8533, 0.7638, 0.8549
qwen_dataset_dinov3_vitb16_mlp768_384_192_ls0p1_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8694, 0.7917, 0.8718
qwen_dataset_dinov3_vitl16_mlp512_ls0_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8711, 0.7919, 0.8719
qwen_dataset_dinov3_vitl16_mlp512_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8842, 0.7976, 0.8864
qwen_dataset_dinov3_vitl16_mlp768_ls0_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8782, 0.7961, 0.8785
qwen_dataset_dinov3_vitl16_mlp768_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8927, 0.8180, 0.8932
qwen_dataset_dinov3_vitl16_mlp1024_ls0_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8786, 0.8029, 0.8793
qwen_dataset_dinov3_vitl16_mlp1024_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8897, 0.8088, 0.8932
qwen_dataset_dinov3_vitl16_mlp1024_512_ls0_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8674, 0.7853, 0.8679
qwen_dataset_dinov3_vitl16_mlp1024_512_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8977, 0.8264, 0.8966
qwen_dataset_dinov3_vitl16_mlp1024_512_256_ls0_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8534, 0.7757, 0.8560
qwen_dataset_dinov3_vitl16_mlp1024_512_256_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8847, 0.8106, 0.8849
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_ls0_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7824, 0.6592, 0.7884
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8302, 0.7264, 0.8298
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_ls0_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7923, 0.6711, 0.7926
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8434, 0.7434, 0.8405
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_ls0_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8065, 0.6929, 0.8122
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_ls0p1_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8554, 0.7550, 0.8539
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_ls0_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7922, 0.6744, 0.7968
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_ls0p1_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8635, 0.7673, 0.8616
