Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8912, 0.8241, 0.8910
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8908, 0.8238, 0.8900
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8879, 0.8219, 0.8860
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8876, 0.8200, 0.8862
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8890, 0.8185, 0.8890
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8825, 0.8176, 0.8822
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8822, 0.8173, 0.8840
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8862, 0.8167, 0.8852
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8880, 0.8155, 0.8883
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8843, 0.8155, 0.8851
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8846, 0.8146, 0.8827
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8809, 0.8116, 0.8821
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8804, 0.8106, 0.8811
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8764, 0.8076, 0.8779
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8813, 0.8062, 0.8807
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8804, 0.8061, 0.8809
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8783, 0.8050, 0.8794
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8774, 0.8039, 0.8781
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8761, 0.8029, 0.8773
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8764, 0.8029, 0.8779
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8698, 0.8005, 0.8720
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8752, 0.7989, 0.8760
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8709, 0.7942, 0.8724
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8595, 0.7925, 0.8617
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8656, 0.7906, 0.8675
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8600, 0.7904, 0.8627
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8731, 0.7902, 0.8741
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8611, 0.7879, 0.8642
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8636, 0.7853, 0.8674
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8527, 0.7848, 0.8568
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8575, 0.7830, 0.8594
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8655, 0.7823, 0.8673
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8502, 0.7808, 0.8546
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8515, 0.7800, 0.8551
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8627, 0.7791, 0.8666
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8588, 0.7788, 0.8600
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8538, 0.7751, 0.8568
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8607, 0.7750, 0.8629
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8394, 0.7747, 0.8454
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8564, 0.7733, 0.8588
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8483, 0.7723, 0.8516
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8546, 0.7723, 0.8566
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8372, 0.7708, 0.8424
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8491, 0.7702, 0.8519
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8408, 0.7700, 0.8468
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8404, 0.7680, 0.8450
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8371, 0.7667, 0.8429
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8556, 0.7652, 0.8526
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8458, 0.7634, 0.8497
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8462, 0.7616, 0.8497
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8427, 0.7554, 0.8484
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8339, 0.7548, 0.8380
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8527, 0.7533, 0.8494
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8330, 0.7512, 0.8371
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8470, 0.7494, 0.8412
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8430, 0.7490, 0.8416
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8321, 0.7490, 0.8374
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8219, 0.7469, 0.8286
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8223, 0.7447, 0.8287
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8173, 0.7438, 0.8249
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8222, 0.7434, 0.8306
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8337, 0.7432, 0.8384
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8098, 0.7426, 0.8177
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8166, 0.7394, 0.8255
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8146, 0.7387, 0.8223
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8176, 0.7387, 0.8253
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8164, 0.7377, 0.8225
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8388, 0.7375, 0.8354
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8271, 0.7374, 0.8317
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8185, 0.7374, 0.8262
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8092, 0.7361, 0.8164
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8184, 0.7350, 0.8243
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8122, 0.7347, 0.8177
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8148, 0.7347, 0.8241
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8123, 0.7328, 0.8210
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8141, 0.7327, 0.8201
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8133, 0.7319, 0.8218
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8061, 0.7303, 0.8147
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8378, 0.7272, 0.8335
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8338, 0.7269, 0.8306
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8151, 0.7268, 0.8225
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8106, 0.7262, 0.8180
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8086, 0.7253, 0.8145
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8212, 0.7253, 0.8287
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8000, 0.7248, 0.8103
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8256, 0.7221, 0.8223
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8016, 0.7210, 0.8110
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8017, 0.7198, 0.8116
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8075, 0.7197, 0.8164
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8140, 0.7185, 0.8231
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0_effective_bg5, ViT-L/14, 0.8130, 0.7120, 0.8138
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7971, 0.7118, 0.8074
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7812, 0.7102, 0.7930
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7873, 0.7070, 0.7971
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7827, 0.7059, 0.7927
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7793, 0.7056, 0.7870
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7852, 0.7054, 0.7914
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8195, 0.7037, 0.8237
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0p1_full_bg5, ViT-L/14, 0.8060, 0.7033, 0.8090
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0p1_full_bg5, ViT-L/14, 0.8118, 0.7022, 0.8113
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7945, 0.7013, 0.8039
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7850, 0.6983, 0.7962
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7812, 0.6979, 0.7910
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7756, 0.6968, 0.7856
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7795, 0.6968, 0.7918
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7739, 0.6961, 0.7836
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7830, 0.6943, 0.7945
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0_effective_bg5, ViT-L/14, 0.8058, 0.6932, 0.8071
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7797, 0.6927, 0.7894
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8011, 0.6920, 0.8038
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7876, 0.6919, 0.7970
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7905, 0.6909, 0.7943
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7767, 0.6906, 0.7866
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7920, 0.6902, 0.7995
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7733, 0.6895, 0.7852
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7655, 0.6865, 0.7763
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_effective_bg5, ViT-B/16, 0.7918, 0.6843, 0.7946
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0p1_full_bg5, ViT-B/32, 0.7974, 0.6835, 0.7974
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7507, 0.6784, 0.7624
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7540, 0.6772, 0.7673
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7900, 0.6771, 0.7942
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7526, 0.6746, 0.7644
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7649, 0.6746, 0.7763
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7533, 0.6724, 0.7669
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7810, 0.6722, 0.7907
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0_effective_bg5, ViT-B/32, 0.7864, 0.6720, 0.7870
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7743, 0.6720, 0.7842
