Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8971, 0.8303, 0.8960
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8959, 0.8301, 0.8949
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8951, 0.8299, 0.8939
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8956, 0.8295, 0.8942
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8939, 0.8289, 0.8940
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8902, 0.8263, 0.8897
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8915, 0.8259, 0.8911
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8954, 0.8258, 0.8942
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8894, 0.8256, 0.8885
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8958, 0.8256, 0.8932
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8906, 0.8251, 0.8905
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8893, 0.8248, 0.8879
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8889, 0.8240, 0.8888
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8850, 0.8234, 0.8857
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8906, 0.8231, 0.8889
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8934, 0.8227, 0.8927
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8870, 0.8218, 0.8854
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8908, 0.8203, 0.8886
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8840, 0.8162, 0.8837
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8834, 0.8151, 0.8835
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8816, 0.8150, 0.8826
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8848, 0.8128, 0.8833
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8803, 0.8120, 0.8810
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8819, 0.8094, 0.8816
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8797, 0.8094, 0.8802
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8797, 0.8093, 0.8805
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8756, 0.8053, 0.8751
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8773, 0.8038, 0.8780
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8714, 0.8009, 0.8728
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8744, 0.8007, 0.8758
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8670, 0.7997, 0.8702
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8651, 0.7991, 0.8686
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8729, 0.7979, 0.8744
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8685, 0.7971, 0.8698
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8709, 0.7969, 0.8724
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8621, 0.7935, 0.8650
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8650, 0.7889, 0.8682
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8503, 0.7882, 0.8534
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8614, 0.7845, 0.8641
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8555, 0.7822, 0.8592
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8565, 0.7807, 0.8601
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8489, 0.7806, 0.8515
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8553, 0.7804, 0.8580
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8577, 0.7776, 0.8600
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8620, 0.7751, 0.8634
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8550, 0.7725, 0.8560
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8394, 0.7689, 0.8450
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8501, 0.7675, 0.8545
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8616, 0.7674, 0.8586
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8499, 0.7662, 0.8530
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8413, 0.7655, 0.8469
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8435, 0.7639, 0.8486
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8516, 0.7638, 0.8504
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8433, 0.7637, 0.8480
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8365, 0.7593, 0.8406
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8526, 0.7573, 0.8470
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8341, 0.7571, 0.8395
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8332, 0.7568, 0.8399
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8324, 0.7551, 0.8393
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8279, 0.7538, 0.8346
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8234, 0.7499, 0.8275
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8454, 0.7489, 0.8444
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8268, 0.7470, 0.8333
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8320, 0.7444, 0.8366
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8276, 0.7437, 0.8324
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8223, 0.7431, 0.8292
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8074, 0.7393, 0.8164
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8397, 0.7361, 0.8343
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8151, 0.7335, 0.8241
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8043, 0.7330, 0.8126
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8174, 0.7322, 0.8248
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8175, 0.7309, 0.8231
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7998, 0.7300, 0.8094
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8111, 0.7292, 0.8191
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8042, 0.7290, 0.8094
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8007, 0.7265, 0.8078
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7926, 0.7258, 0.8032
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8035, 0.7240, 0.8131
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7948, 0.7233, 0.8039
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8133, 0.7232, 0.8200
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8108, 0.7215, 0.8153
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8000, 0.7203, 0.8063
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8040, 0.7202, 0.8096
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7978, 0.7198, 0.8033
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8262, 0.7197, 0.8236
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7952, 0.7193, 0.8025
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8070, 0.7187, 0.8122
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7983, 0.7187, 0.8079
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8021, 0.7181, 0.8116
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.8242, 0.7177, 0.8220
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8023, 0.7175, 0.8087
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8039, 0.7171, 0.8108
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8066, 0.7160, 0.8159
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8071, 0.7152, 0.8128
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8035, 0.7150, 0.8111
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8139, 0.7146, 0.8155
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7869, 0.7135, 0.7973
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7954, 0.7129, 0.8050
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7843, 0.7123, 0.7951
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0p1_effective_bg5, ViT-L/14, 0.8141, 0.7093, 0.8162
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7842, 0.7089, 0.7927
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7892, 0.7078, 0.7982
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7743, 0.7075, 0.7843
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0p1_effective_bg5, ViT-L/14, 0.8164, 0.7069, 0.8146
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7966, 0.7054, 0.8047
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7723, 0.7029, 0.7830
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.8075, 0.7018, 0.8135
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7816, 0.7015, 0.7909
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7863, 0.7007, 0.7961
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7860, 0.7006, 0.7977
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0_full_bg5, ViT-L/14, 0.8102, 0.6994, 0.8124
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7890, 0.6994, 0.7959
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7816, 0.6985, 0.7924
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7864, 0.6967, 0.7959
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7805, 0.6965, 0.7896
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7786, 0.6923, 0.7907
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7679, 0.6921, 0.7794
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7766, 0.6916, 0.7865
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7684, 0.6900, 0.7794
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7708, 0.6894, 0.7814
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7640, 0.6878, 0.7767
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7682, 0.6868, 0.7775
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7904, 0.6868, 0.7978
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7880, 0.6868, 0.7923
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7598, 0.6858, 0.7716
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.7754, 0.6832, 0.7858
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7628, 0.6827, 0.7750
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0_full_bg5, ViT-L/14, 0.8056, 0.6826, 0.8055
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7845, 0.6826, 0.7934
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0_full_bg5, ViT-B/32, 0.7952, 0.6818, 0.7955
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7651, 0.6800, 0.7762
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0p1_effective_bg5, ViT-B/32, 0.7948, 0.6799, 0.7954
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7635, 0.6791, 0.7748
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7522, 0.6726, 0.7673
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7581, 0.6721, 0.7710
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7591, 0.6716, 0.7683
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7552, 0.6705, 0.7668
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_effective_bg5, ViT-B/16, 0.7941, 0.6695, 0.7953
qwen_dataset_dinov3_vits16_mlp192_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7468, 0.6632, 0.7611
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_full_bg5, ViT-B/16, 0.7838, 0.6628, 0.7885
